  25775.85   25775.92   25776.06   25776.27   25776.56   25776.92   25777.36   25777.87   25778.46   25779.13   25779.88   25780.71   25781.63   25782.64   25783.73   25784.92   25786.21   25787.60   25789.09   25790.69   25792.40   25794.23   25796.19   25798.27   25800.48   25802.83   25805.33   25807.98   25810.80   25813.78   25816.93   25820.27   25823.80   25827.54   25831.49   25835.66   25840.07   25844.73   25849.65   25854.84   25860.32   25866.11   25872.21   25878.65   25885.44   25892.61   25900.17   25908.14   25916.56   25925.43
  25777.61   25777.69   25777.83   25778.06   25778.36   25778.74   25779.19   25779.73   25780.34   25781.04   25781.83   25782.70   25783.65   25784.70   25785.85   25787.09   25788.43   25789.88   25791.43   25793.09   25794.88   25796.78   25798.81   25800.97   25803.27   25805.71   25808.31   25811.05   25813.97   25817.05   25820.32   25823.78   25827.43   25831.29   25835.37   25839.67   25844.22   25849.02   25854.09   25859.43   25865.07   25871.02   25877.29   25883.90   25890.87   25898.22   25905.96   25914.12   25922.73   25931.80
  25779.37   25779.45   25779.60   25779.84   25780.15   25780.54   25781.02   25781.58   25782.22   25782.94   25783.76   25784.66   25785.66   25786.75   25787.94   25789.23   25790.62   25792.12   25793.74   25795.47   25797.31   25799.29   25801.39   25803.63   25806.01   25808.54   25811.22   25814.06   25817.07   25820.26   25823.63   25827.19   25830.96   25834.94   25839.14   25843.57   25848.25   25853.18   25858.39   25863.88   25869.66   25875.76   25882.19   25888.96   25896.09   25903.61   25911.52   25919.86   25928.65   25937.90
  25781.13   25781.21   25781.37   25781.61   25781.93   25782.34   25782.83   25783.41   25784.08   25784.83   25785.68   25786.62   25787.65   25788.78   25790.01   25791.35   25792.79   25794.35   25796.02   25797.80   25799.72   25801.76   25803.93   25806.24   25808.70   25811.31   25814.08   25817.01   25820.11   25823.39   25826.86   25830.53   25834.40   25838.49   25842.81   25847.36   25852.16   25857.23   25862.56   25868.19   25874.11   25880.35   25886.92   25893.85   25901.13   25908.81   25916.89   25925.39   25934.35   25943.77
  25782.88   25782.96   25783.12   25783.37   25783.71   25784.13   25784.64   25785.24   25785.93   25786.71   25787.59   25788.56   25789.63   25790.80   25792.07   25793.45   25794.94   25796.55   25798.27   25800.12   25802.09   25804.19   25806.44   25808.82   25811.35   25814.04   25816.88   25819.90   25823.09   25826.47   25830.03   25833.80   25837.78   25841.97   25846.40   25851.06   25855.98   25861.17   25866.63   25872.38   25878.43   25884.81   25891.52   25898.58   25906.02   25913.84   25922.07   25930.73   25939.84   25949.43
  25784.62   25784.70   25784.87   25785.13   25785.48   25785.92   25786.45   25787.07   25787.78   25788.58   25789.49   25790.49   25791.59   25792.80   25794.11   25795.54   25797.07   25798.73   25800.50   25802.41   25804.44   25806.60   25808.91   25811.36   25813.96   25816.72   25819.65   25822.75   25826.02   25829.48   25833.14   25837.00   25841.08   25845.38   25849.91   25854.68   25859.71   25865.01   25870.59   25876.46   25882.64   25889.15   25895.99   25903.19   25910.76   25918.72   25927.10   25935.90   25945.16   25954.90
  25786.36   25786.45   25786.62   25786.89   25787.25   25787.70   25788.24   25788.88   25789.61   25790.45   25791.38   25792.41   25793.54   25794.79   25796.14   25797.61   25799.19   25800.89   25802.72   25804.67   25806.76   25808.98   25811.35   25813.87   25816.54   25819.37   25822.37   25825.55   25828.91   25832.45   25836.20   25840.15   25844.32   25848.71   25853.35   25858.22   25863.36   25868.77   25874.46   25880.45   25886.75   25893.38   25900.34   25907.67   25915.37   25923.47   25931.98   25940.92   25950.32   25960.20
  25788.10   25788.19   25788.37   25788.64   25789.01   25789.48   25790.04   25790.69   25791.45   25792.30   25793.26   25794.32   25795.49   25796.77   25798.16   25799.66   25801.29   25803.04   25804.91   25806.92   25809.06   25811.34   25813.77   25816.35   25819.09   25821.99   25825.06   25828.31   25831.75   25835.38   25839.21   25843.25   25847.50   25851.99   25856.72   25861.70   25866.94   25872.45   25878.25   25884.35   25890.76   25897.51   25904.59   25912.04   25919.87   25928.09   25936.73   25945.80   25955.33   25965.34
  25789.83   25789.92   25790.11   25790.39   25790.77   25791.25   25791.82   25792.50   25793.27   25794.15   25795.13   25796.22   25797.42   25798.73   25800.16   25801.71   25803.37   25805.17   25807.09   25809.14   25811.34   25813.68   25816.17   25818.81   25821.61   25824.58   25827.72   25831.04   25834.55   25838.26   25842.17   25846.29   25850.64   25855.22   25860.04   25865.11   25870.45   25876.06   25881.96   25888.17   25894.69   25901.54   25908.74   25916.31   25924.25   25932.60   25941.36   25950.55   25960.21   25970.35
  25791.56   25791.66   25791.85   25792.14   25792.53   25793.02   25793.61   25794.30   25795.09   25796.00   25797.00   25798.12   25799.35   25800.69   25802.16   25803.74   25805.45   25807.28   25809.25   25811.36   25813.60   25815.99   25818.54   25821.24   25824.10   25827.14   25830.35   25833.74   25837.32   25841.10   25845.09   25849.30   25853.72   25858.39   25863.30   25868.46   25873.89   25879.60   25885.61   25891.91   25898.54   25905.50   25912.81   25920.48   25928.54   25937.00   25945.88   25955.19   25964.97   25975.23
